video_id,true_label,final_prediction,video_confidence,reasoning,frame_predictions_json,error
19,Natural History,frameless,0.1,"The frames depict a personal setting with a focus on an individual, which does not align with traditional museum exhibits or immersive digital art.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.1}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.1}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.1}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.1}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.1}]",
20,Natural History,natural_history,0.9,"The frames depict traditional museum exhibits, artifacts in display cases, and conventional gallery spaces, consistent with a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
21,Natural History,natural_history,0.9,"The frames predominantly feature traditional museum exhibits such as dinosaur skeletons and gemstones, set in conventional gallery spaces with classic museum architecture.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
22,Natural History,natural_history,0.85,"The majority of frames depict traditional museum settings, including exhibits and architecture typical of natural history museums.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}]",
23,Natural History,natural_history,0.95,"The frame shows a traditional museum setting with a large skeleton exhibit and classic architecture, typical of natural history museums.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
24,Natural History,natural_history,0.9,"The frames predominantly feature traditional museum exhibits, such as skeletons and artifacts, within a conventional gallery space, indicating a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
25,Frameless,frameless,0.92,"The frames depict an immersive digital-art style exhibition with large projected visuals and interactive environments, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
26,Frameless,frameless,0.95,"The frame shows an immersive digital-art environment with large projected visuals on walls and floors, typical of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
27,Frameless,frameless,0.75,"The majority of frames depict immersive digital-art style content with large projected visuals, indicating a frameless classification.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.6}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.6}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}]",
28,Frameless,frameless,0.95,"The frame shows immersive digital art with large projected visuals, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
29,Frameless,frameless,0.95,"The video frames consistently show immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless exhibit.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
30,Frameless,frameless,0.8,"The frames predominantly feature modern, immersive environments with digital displays and contemporary architecture, consistent with the 'frameless' classification.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.6}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.7}]",
31,Frameless,natural_history,0.6,"The majority of frames depict settings and elements typical of a natural history context, such as museum architecture and artifacts.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.3}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.3}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}]",
32,Frameless,frameless,0.93,"The frames depict immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
33,Frameless,frameless,0.95,"The frames depict immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
34,Frameless,frameless,0.9,"The frames predominantly feature immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
35,Frameless,frameless,0.95,"The frames depict immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
36,Frameless,frameless,0.92,"The frames depict an immersive digital-art environment with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
37,Frameless,frameless,0.95,"The frame shows an immersive digital-art style setting with large projected visuals on the walls and floor, characteristic of a frameless environment.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
38,Frameless,frameless,0.95,"The video features immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
39,Frameless,frameless,0.9,"The frames depict immersive digital art environments with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
40,Frameless,frameless,0.9,"The frames depict immersive digital art with large projected visuals and modern, interactive settings typical of a frameless exhibition.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
41,Frameless,frameless,0.9,"The frames consistently depict immersive digital-art style content with large projected visuals and floor-to-ceiling light/projection rooms, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.9}]",
42,Frameless,frameless,0.95,"The frame shows an immersive digital-art style setting with large projected visuals, typical of a frameless exhibition.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
43,Frameless,frameless,0.8,"The majority of frames depict immersive digital-art style settings with large visuals and modern aesthetics, characteristic of the 'frameless' classification.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.8}]",
44,Frameless,frameless,0.95,"The video consistently features immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless exhibition.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
45,Frameless,frameless,0.95,"The frame shows an immersive digital-art style setting with large projected visuals, typical of a frameless experience.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
46,Frameless,frameless,0.95,"The frames predominantly feature immersive digital art with large projected visuals and floor-to-ceiling light displays, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
47,Frameless,frameless,0.95,"The video frames consistently depict immersive digital-art style content with large projected visuals and floor-to-ceiling light/projection rooms, characteristic of the 'frameless' classification.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.95}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
48,Frameless,frameless,0.95,"The frame features immersive digital art with large projected visuals, characteristic of a frameless setting.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.95}]",
49,Frameless,natural_history,0.8,"The frames depict traditional urban and architectural settings, consistent with natural history themes rather than immersive digital art.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}]",
